Date,Circle,Division,PSS,Equipment Name,PTR No.,PTR Capacity (MVA),Max Voltage,Time,Min Voltage,Time,Max Loading,Time,Min Loading,Time,Remarks
,,,,, , ,(kV),(hh:mm),(kV),(hh:mm),(Amp),(hh:mm),(Amp),(hh:mm),
5/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , ,48,23:00:00,31,7:00:00, 
5/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
5/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , ,14,8:00:00,10,11:00:00, 
5/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , ,13,20:00:00,10,14:00:00, 
5/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , ,16,7:00:00,10,2:00:00, 
5/10/2025,RKL,SED,lephripada,11kV dumabahal,1,5, , , , ,0.62,18:00:00,0.41,1:00:00, 
5/10/2025,RKL,SED,lephripada,11kV gunia dihi ,3,3, , , , , , , , , 
5/10/2025,RKL,SED,lephripada,11kV dmf,3,3,26.58,9:00:00,26.51,6:00:00,4.5,21:00:00,4.3,0:00:00, 
5/10/2025,RKL,SED,lephripada,Station Transformer (33kV/0.415kV), , ,5,0:00:00,0,0:00:00, , , , , 
5/10/2025,RKL,SED,lephripada,Charger 48/24 Volt (O/P DC in Volt), , , , , , , , , , , 
6/10/2025,RKL,SED,lephripada,33kV I/C-1 (GSS), , , , , , ,17,17:00:00,16,14:00:00, 
6/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (33kV), , , , , , , , , , , 
6/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (33kV), , , , , , ,15,6:00:00,7,14:00:00, 
6/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , ,52,6:00:00,23,15:00:00, 
6/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
6/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , ,15,4:00:00,10,6:00:00, 
6/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , ,15,5:00:00,9,17:00:00, 
6/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , ,15,4:00:00,9,14:00:00, 
6/10/2025,RKL,SED,lephripada,11kV dumabahal,1,5, , , , ,0.81,13:00:00,0.47,3:00:00, 
6/10/2025,RKL,SED,lephripada,11kV gunia dihi ,3,3, , , , , , , , , 
6/10/2025,RKL,SED,lephripada,11kV dmf,3,3,26.57,9:00:00,26.3,17:00:00,4.7,16:00:00,4.5,9:00:00, 
6/10/2025,RKL,SED,lephripada,Station Transformer (33kV/0.415kV), , ,5,0:00:00,0,0:00:00, , , , , 
6/10/2025,RKL,SED,lephripada,Charger 48/24 Volt (O/P DC in Volt), , , , , , , , , , , 
7/10/2025,RKL,SED,lephripada,33kV I/C-1 (GSS), , , , , , ,24,23:00:00,14,18:00:00, 
7/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (33kV), , , , , , , , , , , 
7/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (33kV), , , , , , ,17,11:00:00,7,20:00:00, 
7/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , ,34,11:00:00,21,20:00:00, 
7/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
7/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , ,12,20:00:00,11,23:00:00, 
7/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , ,13,20:00:00,10,4:00:00, 
7/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , ,16,10:00:00,13,0:00:00, 
7/10/2025,RKL,SED,lephripada,11kV dumabahal,1,5, , , , ,0.44,13:00:00,0.21,6:00:00, 
7/10/2025,RKL,SED,lephripada,11kV gunia dihi ,3,3, , , , , , , , , 
7/10/2025,RKL,SED,lephripada,11kV dmf,3,3,26.55,17:00:00,26.5,19:00:00,4.5,20:00:00,4.4,4:00:00, 
7/10/2025,RKL,SED,lephripada,Station Transformer (33kV/0.415kV), , ,5,0:00:00,0,0:00:00, , , , , 
7/10/2025,RKL,SED,lephripada,Charger 48/24 Volt (O/P DC in Volt), , , , , , , , , , , 
8/10/2025,RKL,SED,lephripada,33kV I/C-1 (GSS), , , , , , ,24,23:00:00,14,18:00:00, 
8/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (33kV), , , , , , , , , , , 
8/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (33kV), , , , , , ,17,11:00:00,7,20:00:00, 
8/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , ,54,11:00:00,21,20:00:00, 
8/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
8/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , ,12,20:00:00,11,23:00:00, 
8/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , ,13,20:00:00,10,3:00:00, 
8/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , ,16,8:00:00,13,18:00:00, 
8/10/2025,RKL,SED,lephripada,11kV dumabahal,1,5, , , , ,0.44,13:00:00,0.21,7:00:00, 
8/10/2025,RKL,SED,lephripada,11kV gunia dihi ,3,3, , , , , , , , , 
8/10/2025,RKL,SED,lephripada,11kV dmf,3,3,26.6,2:00:00,26.5,19:00:00,4.6,13:00:00,4.5,22:00:00, 
8/10/2025,RKL,SED,lephripada,Station Transformer (33kV/0.415kV), , ,5,0:00:00,0,0:00:00, , , , , 
8/10/2025,RKL,SED,lephripada,Charger 48/24 Volt (O/P DC in Volt), , , , , , , , , , , 
9/10/2025,RKL,SED,lephripada,33kV I/C-1 (GSS), , , , , , , , , , , 
9/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (33kV), , , , , , , , , , , 
9/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (33kV), , , , , , , , , , , 
9/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , , , , , , 
9/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
9/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , , , , , , 
9/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , , , , , , 
9/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , , , , , , 
9/10/2025,RKL,SED,lephripada,11kV dumabahal,1,5, , , , , , , , , 
9/10/2025,RKL,SED,lephripada,11kV gunia dihi ,3,3, , , , , , , , , 
9/10/2025,RKL,SED,lephripada,11kV dmf,3,3, , , , , , , , , 
9/10/2025,RKL,SED,lephripada,Station Transformer (33kV/0.415kV), , , , , , , , , , , 
9/10/2025,RKL,SED,lephripada,Charger 48/24 Volt (O/P DC in Volt), , , , , , , , , , , 
10/10/2025,RKL,SED,lephripada,33kV I/C-1 (GSS), , , , , , ,27,2:00:00,17,16:00:00, 
10/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (33kV), , , , , , ,15,9:00:00,11,15:00:00, 
10/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (33kV), , , , , , , , , , , 
10/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , ,54,16:00:00,41,7:00:00, 
10/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
10/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , ,16,14:00:00,10,11:00:00, 
10/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , ,16,16:00:00,10,3:00:00, 
10/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , ,20,17:00:00,15,13:00:00, 
10/10/2025,RKL,SED,lephripada,11kV dumabahal,1,5, , , , ,0.34,17:00:00,0.3o,6:00:00, 
10/10/2025,RKL,SED,lephripada,11kV gunia dihi ,3,3, , , , , , , , , 
10/10/2025,RKL,SED,lephripada,11kV dmf,3,3,26.58,5:00:00,26.54,15:00:00,4.6,19:00:00,4.5,6:00:00, 
10/10/2025,RKL,SED,lephripada,Station Transformer (33kV/0.415kV), , ,3,0:00:00,0,0:00:00, , , , , 
10/10/2025,RKL,SED,lephripada,Charger 48/24 Volt (O/P DC in Volt), , ,3,0:00:00,0,0:00:00, , , , , 
11/10/2025,RKL,SED,lephripada,33kV I/C-1 (GSS), , , , , , , , , , , 
11/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (33kV), , , , , , , , , , , 
11/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (33kV), , , , , , ,16,18:00:00,7,22:00:00, 
11/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , ,54,17:00:00,25,6:00:00, 
11/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
11/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , ,14,6:00:00,12,13:00:00, 
11/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , ,20,18:00:00,13,14:00:00, 
11/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , ,14,11:00:00,10,14:00:00, 
11/10/2025,RKL,SED,lephripada,11kV dumabahal,1,5, , , , ,0.6,21:00:00,0.36,5:00:00, 
11/10/2025,RKL,SED,lephripada,11kV gunia dihi ,3,3, , , , , , , , , 
11/10/2025,RKL,SED,lephripada,11kV dmf,3,3,26.71,11:00:00,26.4,22:00:00,4.6,20:00:00,4.2,10:00:00, 
11/10/2025,RKL,SED,lephripada,Station Transformer (33kV/0.415kV), , ,5,0:00:00,0,0:00:00, , , , , 
11/10/2025,RKL,SED,lephripada,Charger 48/24 Volt (O/P DC in Volt), , , , , , , , , , , 
12/10/2025,RKL,SED,lephripada,33kV I/C-1 (GSS), , , , , , , , , , , 
12/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (33kV), , , , , , , , , , , 
12/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (33kV), , , , , , , , , , , 
12/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , , , , , , 
12/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
12/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , , , , , , 
12/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , , , , , , 
12/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , , , , , , 
12/10/2025,RKL,SED,lephripada,11kV dumabahal,1,5, , , , , , , , , 
12/10/2025,RKL,SED,lephripada,11kV gunia dihi ,3,3, , , , , , , , , 
12/10/2025,RKL,SED,lephripada,11kV dmf,3,3, , , , , , , , , 
12/10/2025,RKL,SED,lephripada,Station Transformer (33kV/0.415kV), , , , , , , , , , , 
12/10/2025,RKL,SED,lephripada,Charger 48/24 Volt (O/P DC in Volt), , , , , , , , , , , 
13/10/2025,RKL,SED,lephripada,33kV I/C-1 (GSS), , , , , , , , , , , 
13/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (33kV), , , , , , , , , , , 
13/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (33kV), , , , , , ,24,23:00:00,8,9:00:00, 
13/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , ,60,18:00:00,34,0:00:00, 
13/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
13/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , ,14,17:00:00,11,9:00:00, 
13/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , ,25,17:00:00,9,11:00:00, 
13/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , ,20,18:00:00,9,0:00:00, 
13/10/2025,RKL,SED,lephripada,11kV dumabahal,1,5, , , , ,0.52,19:00:00,0.35,8:00:00, 
13/10/2025,RKL,SED,lephripada,11kV gunia dihi ,3,3, , , , , , , , , 
13/10/2025,RKL,SED,lephripada,11kV dmf,3,3,26.63,6:00:00,26.5,21:00:00,4.4,3:00:00,4.2,17:00:00, 
13/10/2025,RKL,SED,lephripada,Station Transformer (33kV/0.415kV), , ,5,0:00:00,0,0:00:00, , , , , 
13/10/2025,RKL,SED,lephripada,Charger 48/24 Volt (O/P DC in Volt), , , , , , , , , , , 
